상권_코드_명,1분기 covid 영향력,2분기 covid 영향력,3분기 covid 영향력,4분기 covid 영향력,상권_평균_점포수(scaling),상권_평균_점포수,segment
능동로34길,-0.1876000000000001,-0.19030000000000002,-0.15359999999999996,-0.12150000000000005,-0.1009,61.0,9
답십리로23길,-0.47229999999999994,-0.4375999999999999,-0.30889999999999995,-0.23449999999999993,-0.528,41.0,0
대림골목시장,0.028200000000000003,0.2168000000000001,0.24859999999999993,0.1491,-0.1009,61.0,18
대흥로21길,-0.06840000000000002,-0.26549999999999996,-0.20129999999999992,-0.33640000000000003,-0.1367,59.0,9
대흥로28길,0.136,0.005299999999999971,-0.10749999999999993,-0.23259999999999992,0.2684,86.0,20
독립문로8길,-0.28769999999999996,-0.20839999999999992,-0.14350000000000007,-0.10439999999999994,-0.8286,31.0,12
독막로22길,-0.047799999999999954,0.0031999999999999806,-0.0009000000000000119,-0.08760000000000001,-0.8286,31.0,2
독막로32길,0.05410000000000004,-0.011200000000000099,-0.12009999999999998,0.07400000000000007,-0.6097,38.0,10
독막로8길,0.008799999999999919,-0.009699999999999931,-0.06130000000000002,0.0051000000000001044,-0.0162,66.0,14
돈암제일시장,-0.4311999999999999,-0.3922000000000001,-0.33540000000000014,-0.34309999999999996,-0.0492,64.0,24
돌곶이로14길,0.07609999999999995,0.07910000000000006,-0.00039999999999995595,0.041100000000000025,-0.7614,33.0,2
돌곶이로22길,-0.30700000000000005,-0.36219999999999997,-0.3712000000000001,-0.3319000000000001,-0.3146,50.0,0
돌곶이로27길,-0.04059999999999997,0.04039999999999999,-0.053100000000000036,-0.2542000000000001,0.204,81.0,20
돌곶이로28길,-0.0016999999999999238,0.018300000000000094,-0.03639999999999999,-0.27659999999999996,-0.6384,37.0,10
돌곶이로8길,0.09630000000000005,-0.14600000000000013,-0.1381,-0.07850000000000001,-1.1973,22.0,2
동광로39길,-0.07879999999999998,-0.08599999999999997,-0.08639999999999992,-0.11009999999999998,0.3173,90.0,20
동소문로13길,0.031200000000000006,-0.09049999999999991,-0.06400000000000006,-0.15170000000000006,-0.4768,43.0,10
동소문로15길,-0.07040000000000002,0.16100000000000003,0.09130000000000016,0.03639999999999999,-0.4043,46.0,10
동소문로26가길,-0.19540000000000002,-0.2437999999999999,-0.25049999999999994,-0.39059999999999995,0.2172,82.0,9
동소문로2길,-0.13430000000000009,-0.14760000000000006,-0.1620999999999999,-0.2701,-0.2725,52.0,0
동소문로6길,-0.22030000000000005,-0.2248,-0.17220000000000013,-0.22440000000000004,-0.1186,60.0,9
동원시장,0.13880000000000003,0.05010000000000003,0.04569999999999985,0.04820000000000002,1.0977,186.0,13
동일로192길,-0.20110000000000006,-0.24269999999999992,-0.18279999999999985,-0.19090000000000007,1.1092,188.0,17
동호로15길,0.028799999999999937,-0.060699999999999976,-0.048899999999999944,-0.11229999999999996,-0.938,28.0,2
동호로20길,-1.0364,-1.3660999999999999,-3.1900999999999997,-0.8329,-2.2849,8.0,8
두텁바위로1길,-0.0988,-0.1410999999999999,0.0022999999999999687,-0.04400000000000004,-0.2319,54.0,14
등촌로39길,-0.12519999999999998,-0.21429999999999993,-0.29800000000000004,-0.29890000000000005,0.0,67.0,9
등촌로51길,-0.08050000000000013,-0.11649999999999994,-0.13069999999999993,-0.19620000000000015,-0.3812,47.0,10
등촌로55길,-0.2135999999999999,-0.2126999999999999,-0.1864,-0.11330000000000007,0.0316,69.0,9
마조로1길,-0.13370000000000004,-0.15379999999999994,-0.15490000000000004,-0.34609999999999996,-0.2122,55.0,0
마포대로20길,0.13729999999999998,0.0687000000000001,-0.03420000000000001,-0.03590000000000004,0.1771,79.0,5
만리시장,0.07390000000000008,0.050999999999999934,0.04380000000000006,0.07540000000000013,-0.9771,27.0,2
만리재옛길,-0.09619999999999995,-0.14869999999999994,-0.18999999999999995,-0.22440000000000004,0.1634,78.0,9
망우로18가길,-0.3605999999999999,-0.35919999999999996,-0.17309999999999992,-0.2146,-0.4768,43.0,0
망우로18길,-0.3702000000000001,-0.4172999999999999,-0.26559999999999995,-0.29370000000000007,0.0774,72.0,24
망우로21길,-0.20640000000000014,-0.17210000000000003,-0.1684,-0.23880000000000012,-0.3364,49.0,0
면목로48길,-0.03380000000000005,-0.0131,-0.07279999999999998,-0.06469999999999998,0.2808,87.0,20
면목로56길,-0.0353,-0.04520000000000002,-0.055600000000000094,-0.06719999999999993,0.2684,86.0,20
면목로78길,-0.027100000000000013,-0.08020000000000005,-0.12039999999999995,-0.14849999999999985,0.5714,114.0,13
명동 남대문 북창동 다동 무교동 관광특구,-0.06279999999999997,-0.16010000000000002,-0.16490000000000005,-0.22360000000000002,4.0214,2822.0,7
명동거리,-0.07509999999999994,-0.17889999999999995,-0.18120000000000003,-0.24719999999999998,2.9316,1024.0,23
명동길,-0.31210000000000004,-0.6969000000000001,-0.5626,-0.36249999999999993,0.4088,98.0,16
명륜길,-0.3477,-0.33529999999999993,-0.21799999999999997,-0.033299999999999996,0.1068,74.0,9
명지대길,-0.13259999999999994,-0.16989999999999994,-0.10930000000000006,-0.21660000000000001,0.6531,123.0,13
모래내로15길,-0.43189999999999995,-0.5543,-0.5005999999999999,-0.42769999999999997,0.0623,71.0,24
밤나무골시장,0.42490000000000006,0.2661,0.053100000000000036,-0.07069999999999999,-2.1582,9.0,4
백련시장,-0.4221999999999999,-0.37360000000000004,-0.3016,-0.25970000000000004,-2.5941,6.0,11
백범로16길,-0.1382,-0.22299999999999986,-0.11529999999999996,-0.19090000000000007,0.7532,135.0,13
백범로79길,0.08550000000000002,-0.017900000000000138,-0.0036000000000000476,-0.02990000000000015,-0.1186,60.0,14
백운시장,-0.5931,-0.4326000000000001,0.11310000000000009,0.10859999999999992,-1.8489,12.0,19
보국문로16길,-0.23180000000000012,-0.17390000000000005,-0.19779999999999998,-0.2621,0.1907,80.0,9
보문로26길,-0.21730000000000005,-0.29910000000000003,-0.13140000000000007,-0.0012999999999999678,-1.4745,17.0,19
보문로31길,-0.08899999999999997,-0.1059,-0.057599999999999985,-0.13270000000000004,0.4088,98.0,20
보문로32길,-0.21609999999999996,-0.19679999999999997,-0.10089999999999999,-0.1652999999999999,0.5524,112.0,20
부일로1길,-0.20020000000000004,-0.26780000000000004,-0.16289999999999993,-0.42599999999999993,-0.2934,51.0,0
북아현로4길,-0.14989999999999992,-0.15069999999999995,-0.034399999999999986,-0.25239999999999996,-0.7293,34.0,12
불광천길,0.021700000000000053,-0.030200000000000005,-0.025500000000000078,-0.03960000000000008,0.3525,93.0,5
사가정로13길,-0.21129999999999993,-0.3325999999999999,-0.3951000000000001,-0.4457000000000001,0.1771,79.0,24
사근동길,-0.11719999999999997,-0.035800000000000054,0.06820000000000015,0.0907,-0.1551,58.0,14
사당로16가길,-0.20750000000000002,-0.22750000000000015,-0.18890000000000007,-0.16099999999999992,-0.5818,39.0,12
사당로23길,-0.39649999999999996,-0.41359999999999997,-0.38049999999999995,-0.05910000000000004,-1.2998,20.0,19
사당로23나길,-1.6719999999999997,-1.3654,-0.32530000000000014,-0.03909999999999991,-1.9425,11.0,22
사당로2차길,-0.11809999999999987,-0.0039000000000000146,0.0403,0.012299999999999978,-0.9771,27.0,2
사당로8길,0.10339999999999994,0.049900000000000055,-0.10839999999999994,-0.17049999999999998,-0.3364,49.0,10
사임당로17길,-0.12780000000000002,-0.1745,-0.2078000000000001,-0.21649999999999991,-0.1551,58.0,9
사평대로22길,-0.023799999999999932,-0.05799999999999994,-0.04490000000000005,-0.17300000000000004,0.7126,130.0,13
사평대로26길,-0.02749999999999997,-0.12,-0.11449999999999994,-0.3340000000000001,-0.0162,66.0,9
삼선교로10길,-0.24850000000000005,-0.36240000000000006,-0.3476,-0.36119999999999997,0.4727,104.0,16
삼선교로10다길,-1.3897,-1.0408,-1.0703,-0.7341,-0.938,28.0,15
